URL,80,443
http://ags02.sec.usace.army.mil,X,,
http://armyps.gdt.arc.cprobe.army.mil,X,,
http://ceng.cdt.cprobe.army.mil,X,,
http://cmgt.cdt.cprobe.army.mil,X,,
http://crl.usace.army.mil,X,,
http://cvs.ellc.learn.army.mil,X,,
http://dde.carlisle.army.mil,X,,
http://dl.gordon.army.mil,X,,
http://ds.ntst.cac.gdt.arc.cprobe.army.mil,X,,
http://ea.ekr.gdt.arc.cprobe.army.mil,X,,
http://hydrosurvey.nwp.usace.army.mil,X,,
http://kacc.nrmc.amedd.army.mil,X,,
http://ke.army.mil,X,,
http://levees-test.sec.usace.army.mil,X,,
http://lmvmapping.erdc.usace.army.mil,X,,
http://mcdonald.nrmc.amedd.army.mil,X,,
http://mcoe.cvs.ellc.learn.army.mil,X,,
http://mcoe.ellc.learn.army.mil,X,,
http://ndev.cac.gdt.arc.cprobe.army.mil,X,,
http://ndev.gdt.arc.cprobe.army.mil,X,,
http://nexus.cdt.cprobe.army.mil,X,,
http://nexus.gdt.arc.cprobe.army.mil,X,,
http://oaats.cvs.ellc.learn.army.mil,X,,
http://oaats.ellc.learn.army.mil,X,,
http://rivergages.mvr.usace.army.mil,X,,
http://rmc.usace.army.mil,X,,
https://ako.portal.tradoc.army.mil,,X,
https://ancexplorer.army.mil,,X,
https://arcportal-ucop-partners.usace.army.mil,,X,
https://arcportal-ucop.usace.army.mil,,X,
https://arcservices-ucop-partners.usace.army.mil,,X,
https://certauth.gdt.arc.cprobe.army.mil,,X,
https://certauth.remote.cdt.cprobe.army.mil,,X,
https://corpslocks.usace.army.mil,,X,
https://cpr-test.sec.usace.army.mil,,X,
http://sdev.cac.cdt.cprobe.army.mil,X,,
http://sdev.gdt.arc.cprobe.army.mil,X,,
http://sdev.noc.gdt.arc.cprobe.army.mil,X,,
https://dtms.army.mil,,X,
http://secure.oema.army.mil,X,,
https://extranet.amrdec.army.mil,,X,
https://jicap.gdt.arc.cprobe.army.mil,,X,
https://jicap.ntst.cdt.cprobe.army.mil,,X,
https://levees.sec.usace.army.mil,,X,
https://lists.army.mil,,X,
https://lst.sec.usace.army.mil,,X,
https://medchartws.ngb.army.mil,,X,
https://medlinet.amedd.army.mil,,X,
https://mobb.usace.army.mil,,X,
http://smtp.gdt.arc.cprobe.army.mil,X,,
https://national.rfitv.army.mil,,X,
https://navigation.usace.army.mil,,X,
https://ndcnav.ops.usace.army.mil,,X,
https://ndcnav-pub-test.sec.usace.army.mil,,X,
https://origin-tsmats.atsc.army.mil,,X,
https://paul.jacobs@netcom.army.mil,,X,
http://spk408.sec.usace.army.mil,X,,
https://recruiting.army.mil,,X,
http://ssi.ellc.learn.army.mil,X,,
https://webproxy@netcom.army.mil,,X,
https://whitney.jordan@netcom.army.mil,,X,
https://www.asafm.army.mil,,X,
https://www.avmc.army.mil,,X,
https://www.erdc.usace.army.mil,,X,
https://www.first.army.mil,,X,
https://www.hec.usace.army.mil,,X,
https://www.lrc.usace.army.mil,,X,
https://www.nww.usace.army.mil,,X,
https://www.swl.usace.army.mil,,X,
https://www.swt.usace.army.mil,,X,
https://www.tam.usace.army.mil,,X,
https://www.us.army.mil,,X,
http://umm.ellc.learn.army.mil,X,,
http://usarec.cvs.ellc.learn.army.mil,X,,
http://usarec.ellc.learn.army.mil,X,,
http://utility.gdt.arc.cprobe.army.mil,X,,
http://viz-test.sec.usace.army.mil,X,,
http://ws.stst.cac.gdt.arc.cprobe.army.mil,X,,
http://www.10thaamdc.army.mil,X,,
http://www.1tsc.army.mil,X,,
http://www.2cr.army.mil,X,,
http://www.2sigbde.army.mil,X,,
http://www.arl.army.mil,X,,
http://www.army.mil,X,,
http://www.bands.army.mil,X,,
http://www.europeafrica.army.mil,X,,
http://www.iwr.usace.army.mil,X,,
http://www.lrh.usace.army.mil,X,,
http://www.lrn-wc.usace.army.mil,X,,
http://www.lrp.usace.army.mil,X,,
http://www.mvp.usace.army.mil,X,,
http://www.mvr.usace.army.mil,X,,
http://www.ncolcoe.army.mil,X,,
http://www.nwd-mr.usace.army.mil,X,,
http://www.nwd.usace.army.mil,X,,
http://www.nwo.usace.army.mil,X,,
http://www.nwp.usace.army.mil,X,,
http://www.saj.usace.army.mil,X,,
http://www.sam.usace.army.mil,X,,
http://www.smdc.army.mil,X,,
http://www.spd.usace.army.mil,X,,
http://www.spn.usace.army.mil,X,,
http://www.swg.usace.army.mil,X,,
http://www.swl-wc.usace.army.mil,X,,
http://www.tradoc.army.mil,X,,
http://www.usace.army.mil,X,,
http://www.usarec.army.mil,X,,
