Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,crl.gds.nit.disa.mil,Timeout,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/http.crl.gds.nit.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/http.crl.gds.nit.disa.mil.txt
http,80,fmkb-crm.csd.disa.mil,Successful,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/http.fmkb-crm.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/http.fmkb-crm.csd.disa.mil.txt
http,80,freedomaward.csd.disa.mil,Successful,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/http.freedomaward.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/http.freedomaward.csd.disa.mil.txt
http,80,freedomawardstaging.csd.disa.mil,Successful,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/http.freedomawardstaging.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/http.freedomawardstaging.csd.disa.mil.txt
https,443,afpers-cac-crm.csd.disa.mil,Successful,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.afpers-cac-crm.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.afpers-cac-crm.csd.disa.mil.txt
https,443,afpers-crm.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.afpers-crm.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.afpers-crm.csd.disa.mil.txt
https,443,almcm.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.almcm.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.almcm.csd.disa.mil.txt
https,443,almcmdt.csd.disa.mil,Successful,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.almcmdt.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.almcmdt.csd.disa.mil.txt
https,443,almdt.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.almdt.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.almdt.csd.disa.mil.txt
https,443,almrm.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.almrm.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.almrm.csd.disa.mil.txt
https,443,almrmdt.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.almrmdt.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.almrmdt.csd.disa.mil.txt
https,443,alpha.centralpki.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.alpha.centralpki.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.alpha.centralpki.csd.disa.mil.txt
https,443,alpha.pdrep.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.alpha.pdrep.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.alpha.pdrep.csd.disa.mil.txt
https,443,alpha.sprs.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.alpha.sprs.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.alpha.sprs.csd.disa.mil.txt
https,443,anhqc2clemrw.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.anhqc2clemrw.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.anhqc2clemrw.csd.disa.mil.txt
https,443,anhqc2ddassrw.csd.disa.mil,Successful,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.easdemotrain.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.anhqc2ddassrw.csd.disa.mil.txt
https,443,anhqc2ddasstr.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.anhqc2ddasstr.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.anhqc2ddasstr.csd.disa.mil.txt
https,443,aplits.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.aplits.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.aplits.disa.mil.txt
https,443,applicationsnavsup.csd.disa.mil,Successful,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.applicationsnavsup.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.applicationsnavsup.csd.disa.mil.txt
https,443,applicationsnavsupdev.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.applicationsnavsupdev.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.applicationsnavsupdev.csd.disa.mil.txt
https,443,applicationsnavsuptest.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.applicationsnavsuptest.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.applicationsnavsuptest.csd.disa.mil.txt
https,443,athd-crm--tst.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.athd-crm--tst.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.athd-crm--tst.csd.disa.mil.txt
https,443,auth.devforce.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.auth.devforce.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.auth.devforce.disa.mil.txt
https,443,bell.dai.csd.disa.mil,Successful,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.bell.dai.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.bell.dai.csd.disa.mil.txt
https,443,beta.pdrep.csd.disa.mil,Successful,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.beta.pdrep.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.beta.pdrep.csd.disa.mil.txt
https,443,beta.sprs.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.beta.sprs.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.beta.sprs.csd.disa.mil.txt
https,443,cac.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.cac.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.cac.csd.disa.mil.txt
https,443,cacpt.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.cacpt.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.cacpt.csd.disa.mil.txt
https,443,casa5585-jitc-clientvpn-a-1.sspl.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.casa5585-jitc-clientvpn-a-1.sspl.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.casa5585-jitc-clientvpn-a-1.sspl.disa.mil.txt
https,443,ccqas.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.ccqas.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.ccqas.csd.disa.mil.txt
https,443,centralpki.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.centralpki.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.centralpki.csd.disa.mil.txt
https,443,central-ra.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.central-ra.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.central-ra.disa.mil.txt
https,443,cloudservices.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.cloudservices.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.cloudservices.disa.mil.txt
https,443,configrpt-obiee11.dai.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.configrpt-obiee11.dai.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.configrpt-obiee11.dai.csd.disa.mil.txt
https,443,confluence.devforce.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.confluence.devforce.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.confluence.devforce.disa.mil.txt
https,443,crl.chamb.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.crl.chamb.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.crl.chamb.disa.mil.txt
https,443,crl.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.crl.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.crl.disa.mil.txt
https,443,crl.gds.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.crl.gds.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.crl.gds.disa.mil.txt
https,443,crl.nit.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.crl.nit.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.crl.nit.disa.mil.txt
https,443,ddsf.disadirect.disa.mil,Successful,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.ddsf.disadirect.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.ddsf.disadirect.disa.mil.txt
https,443,depsland.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.depsland.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.depsland.csd.disa.mil.txt
https,443,dev32-obiee11.dai.csd.disa.mil,Successful,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.dev32-obiee11.dai.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.dev32-obiee11.dai.csd.disa.mil.txt
https,443,devforce.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.devforce.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.devforce.disa.mil.txt
https,443,dha-bcs.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.dha-bcs.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.dha-bcs.csd.disa.mil.txt
https,443,dha-bcsdev.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.easdemotrain.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.dha-bcsdev.csd.disa.mil.txt
https,443,dha-bcspt.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.dha-bcspt.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.dha-bcspt.csd.disa.mil.txt
https,443,disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.disa.mil.txt
https,443,discourse.devforce.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.discourse.devforce.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.discourse.devforce.disa.mil.txt
https,443,dmhrsi.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.dmhrsi.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.dmhrsi.csd.disa.mil.txt
https,443,dmhrsidt.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.dmhrsidt.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.dmhrsidt.csd.disa.mil.txt
https,443,dmhrsipt.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.dmhrsipt.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.dmhrsipt.csd.disa.mil.txt
https,443,dmhrsisso.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.dmhrsisso.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.dmhrsisso.csd.disa.mil.txt
https,443,dmhrsissodt.csd.disa.mil,BadStatus,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.dmhrsissodt.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.dmhrsissodt.csd.disa.mil.txt
https,443,dmhrsissopt.csd.disa.mil,Successful,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/screens/https.dmhrsissopt.csd.disa.mil.png,/home/jaleeljustin643/gopath/bin/DOD-Recon/EyeWitness/Python/2021-05-09_164924/source/https.dmhrsissopt.csd.disa.mil.txt
